ZIP_CODE,pop_density_meters,population,population_error,land_area_sq_meter,land_area_error,ZCTA
01824,127.9423076923077,26612.0,941.0,208.0,75.0,01824
01826,40.949302915082384,32309.0,67.0,789.0,243.0,01826
01827,78.11627906976744,3359.0,21.0,43.0,22.0,01827
01830,62.81542056074766,26885.0,1226.0,428.0,158.0,01830
01832,59.92307692307692,25707.0,1308.0,429.0,180.0,01832
01833,131.078125,8389.0,45.0,64.0,40.0,01833
01834,120.39285714285714,6742.0,14.0,56.0,73.0,01834
01835,97.87333333333333,14681.0,995.0,150.0,73.0,01835
01840,42.28484848484848,6977.0,763.0,165.0,109.0,01840
01841,60.75806451612903,52738.0,1515.0,868.0,205.0,01841
01843,40.27272727272727,28352.0,1521.0,704.0,228.0,01843
01844,76.05187319884726,52780.0,65.0,694.0,198.0,01844
01845,77.13170731707316,31624.0,95.0,410.0,173.0,01845
01850,55.46534653465346,16806.0,1509.0,303.0,169.0,01850
01851,83.09254498714652,32323.0,1454.0,389.0,149.0,01851
01852,42.59440559440559,36546.0,1399.0,858.0,247.0,01852
01854,74.13775510204081,29062.0,1309.0,392.0,127.0,01854
01860,41.72049689440994,6717.0,30.0,161.0,114.0,01860
01862,73.19736842105263,11126.0,1015.0,152.0,103.0,01862
01863,57.30538922155689,9570.0,937.0,167.0,122.0,01863
01864,88.23295454545455,15529.0,20.0,176.0,99.0,01864
01867,27.153681963713982,25443.0,53.0,937.0,231.0,01867
01876,68.94183445190157,30817.0,194.0,447.0,169.0,01876
01879,83.12080536912751,12385.0,38.0,149.0,83.0,01879
01880,29.122844827586206,27026.0,55.0,928.0,192.0,01880
01886,161.3421052631579,24524.0,27.0,152.0,74.0,01886
01887,53.31264367816092,23191.0,29.0,435.0,169.0,01887
01890,36.377990430622006,22809.0,27.0,627.0,172.0,01890
01901,8.866310160427808,1658.0,434.0,187.0,148.0,01901
01902,45.83495145631068,51931.0,2086.0,1133.0,312.0,01902
01904,30.467374810318663,20078.0,1645.0,659.0,244.0,01904
01905,35.98133333333333,26986.0,1853.0,750.0,163.0,01905
01906,42.445765230312034,28566.0,31.0,673.0,233.0,01906
01907,61.82113821138211,15208.0,135.0,246.0,102.0,01907
01908,35.11578947368421,3336.0,20.0,95.0,65.0,01908
01913,111.47741935483872,17279.0,23.0,155.0,67.0,01913
01915,49.069575471698116,41611.0,700.0,848.0,181.0,01915
01921,85.77083333333333,8234.0,46.0,96.0,77.0,01921
01922,0.0,3827.0,646.0,0.0,14.0,01922
01923,61.76837416481069,27734.0,60.0,449.0,151.0,01923
01929,521.1428571428571,3648.0,44.0,7.0,10.0,01929
01930,58.03501945525292,29830.0,25.0,514.0,140.0,01930
